station_id,station_name,operator,latitude,longitude,address,town,postcode,status,total_ports,max_power_kw,district,state,source
459512,BANGI GATEWAY MALL (Shopping Mall),ChargeSini,2.932871,101.76532,Bangi Gateway Shopping Complex,Bandar Baru Bangi,43650.0,Operational,2.0,60.0,Hulu Langat,Selangor,OCM
459515,[Restricted] PUNCAK HIJAUAN CONDOMINIUM (Residential Condo),ChargeSini,2.944719,101.796471,Puncak Hijauan Condominium,Kajang,43000.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
479667,IOI City Mall - Lotus,Shell Recharge (Malaysia),2.9716598987579346,101.71102905273438,"IOI CITY MALL, LEBUH IRC",Putrajaya,62502.0,Operational,1.0,11.0,Sepang,Selangor,OCM
479668,IOI City Mall - Aeon,Shell Recharge (Malaysia),2.970863103866577,101.71643829345705,"IOI CITY MALL, LEBUH IRC",Putrajaya,62502.0,Operational,1.0,11.0,Sepang,Selangor,OCM
463445,[Public] PROTON E.MAS PUTRAJAYA - JEWEL SONIC SDN BHD (Car Showroom),Unknown,2.970161,101.717346,Proton e.MAS Putrajaya - Jewel Sonic Sdn Bhd,Putrajaya,62502.0,Operational,2.0,50.0,Sepang,Selangor,OCM
299323,IOI City Mall Putrajaya LG Zone D by DC Handal ,DC Handal,2.9691498356477126,101.7145284443427,"LG Zone D, IOI City Mall,",Putrajaya,62502.0,Operational,3.0,240.0,Sepang,Selangor,OCM
279459,IOI Connezion,Shell Recharge (Malaysia),2.9645142555236816,101.72149658203124,3 CAR PARK BAYS NEXT TO A-G-01,Putrajaya,62502.0,Operational,1.0,11.0,Sepang,Selangor,OCM
53546,Jalan 9/10,Shell Recharge Solutions (BE),2.95731570182009,101.751333322754,Jalan 9/10,Bandar Baru Bangi,43650.0,Operational,1.0,37.0,Hulu Langat,Selangor,OCM
459523,PARK INN BY RADISSON PUTRAJAYA (Hotel),ChargeSini,2.979283,101.737564,Park Inn by Radisson Putrajaya,Kajang,43000.0,Operational,3.0,22.0,Sepang,Selangor,OCM
478508,Gentari PETRONAS Solaris Seri Kembangan,Gentari Go (MY),3.005837294190343,101.7250332842168,Lebuhraya Utara Selatan (Arah Selatan),Seri Kembangan,43400.0,Operational,1.0,150.0,Hulu Langat,Selangor,OCM
460896,[Public] SILK SKY SERVICED APARTMENT (Residential Condo),Unknown,3.027286,101.750374,Silk Sky Service Apartment,Seri Kembangan,43300.0,Operational,4.0,40.0,Hulu Langat,Selangor,OCM
459539,"AMERIN MALL, SERI KEMBANGAN (Shopping Mall)",ChargeSini,3.024839,101.751541,Amerin Mall,Seri Kembangan,43300.0,Operational,3.0,22.0,Hulu Langat,Selangor,OCM
470577,[Restricted] SYMPHONY TOWER (Public Area),ChargeSini,3.02593,101.753075,Menara Simfoni (Symphony Tower),Seri Kembangan,43300.0,Operational,4.0,40.0,Hulu Langat,Selangor,OCM
459542,[Restricted] PERMATA RESIDENCE (Residential Condo),ChargeSini,3.029084,101.786896,Permata Residence,Kajang,43000.0,Operational,3.0,40.0,Hulu Langat,Selangor,OCM
297029,Impian Golf and Country Club,Shell Recharge (Malaysia),3.01749,101.795035,"Jalan Impian Gemilang, Saujana Impian",Kajang,43000.0,Operational,1.0,11.0,Hulu Langat,Selangor,OCM
