series,model,variant,h,origin,origin_month,converged,MASE,MAE,RMSE,MAPE
full_2020_2026,ARIMA,base,6,47,2023-12,True,1.3430522621339271,319.1982318188692,382.3486011943464,36.285017599296445
full_2020_2026,ARIMA,base,6,48,2024-01,True,1.2463429254230003,310.5734793096495,355.0285498567026,26.706682038113644
full_2020_2026,ARIMA,base,6,49,2024-02,True,1.8619740274248993,468.6802510154264,504.7563368006696,36.281039482214425
full_2020_2026,ARIMA,base,6,50,2024-03,True,0.5698058026092867,152.22541488149952,198.73401492538198,12.513917802106747
full_2020_2026,ARIMA,base,6,51,2024-04,True,0.6519228171842716,179.44794586377233,243.86904155920905,13.783951166362751
full_2020_2026,ARIMA,base,6,52,2024-05,True,0.6407585422226819,185.85041417650476,202.12168129618834,17.741507921711232
full_2020_2026,ARIMA,base,6,53,2024-06,True,0.5700856653087866,170.3209274968136,221.77579665774041,14.259722925639187
full_2020_2026,ARIMA,base,6,54,2024-07,True,0.6082455493148538,186.01534400872742,226.63917091170904,15.716438904821187
full_2020_2026,ARIMA,base,6,55,2024-08,True,0.6110233346209899,188.1461267497299,236.63481361198424,14.957722147573724
full_2020_2026,ARIMA,base,6,56,2024-09,True,0.9990542185318397,309.41412638273783,431.9995936014903,19.29091577892277
full_2020_2026,ARIMA,base,6,57,2024-10,True,1.4728933798061197,450.0813748847631,547.9170905592811,27.0836459022531
full_2020_2026,ARIMA,base,6,58,2024-11,True,2.1174643493963328,640.1273799106302,793.9962571520888,32.39325832152783
full_2020_2026,ARIMA,base,6,59,2024-12,True,1.8675560304942465,562.6059755004449,683.688702822286,28.778750052402774
full_2020_2026,ARIMA,base,6,60,2025-01,True,2.575522239598591,769.4315362112371,853.7370572758215,38.03630696715701
full_2020_2026,ARIMA,base,6,61,2025-02,True,2.5200701070753877,774.1591844809,827.5856420197963,36.66001580945573
full_2020_2026,ARIMA,base,6,62,2025-03,True,1.777444515508442,551.104603005672,624.3440760168677,24.80837799087874
full_2020_2026,ARIMA,base,6,63,2025-04,True,1.948009715873097,622.949114250774,701.452832969691,26.04773789124601
full_2020_2026,ARIMA,base,6,64,2025-05,True,1.4112749468550279,471.6122424457417,647.8285166802422,17.471661061940576
full_2020_2026,ARIMA,base,6,65,2025-06,True,2.917845037643675,1003.7340908214186,1451.5458941341117,27.589417643706497
full_2020_2026,ARIMA,base,6,66,2025-07,True,4.091592115778859,1424.6806995926265,1756.131754594438,38.26400304565502
full_2020_2026,ARIMA,base,6,67,2025-08,True,3.4447208904199647,1244.046613999151,1610.823145014746,32.15017960161082
