name,category,district,latitude,longitude
ZUS Coffee,food_drink,WP Kuala Lumpur,3.1444905999999992,101.6942212
Cekna Mee Celup,food_drink,WP Kuala Lumpur,3.063572,101.7117506
Oon Sim Guan Furniture Sdn Bhd,other,WP Kuala Lumpur,3.2070699,101.6638532
Mixue,food_drink,WP Kuala Lumpur,3.1279168000000004,101.6787747
Top Idea,other,WP Kuala Lumpur,3.1738500999999992,101.6905469
myNEWS.com,shopping,WP Kuala Lumpur,3.1585928999999995,101.7189918
7-Eleven,shopping,WP Kuala Lumpur,3.156734,101.7095431
Mixue,food_drink,WP Kuala Lumpur,3.0909113999999995,101.74246189999998
Watsons,healthcare,WP Kuala Lumpur,3.090989,101.7424466
Ikhtiar,other,WP Kuala Lumpur,3.1757997,101.6968421
Long Chen Toast House,food_drink,WP Kuala Lumpur,3.0579713,101.7479835
7-Eleven,shopping,WP Kuala Lumpur,3.144913,101.7087227
KK Super Mart,shopping,WP Kuala Lumpur,3.2179081,101.6377487
99 Speedmart,shopping,WP Kuala Lumpur,3.2236818,101.6391267
Subway,food_drink,WP Kuala Lumpur,3.1473319,101.6942791
7-Eleven,shopping,WP Kuala Lumpur,3.1520606999999994,101.7069613
Kelab Lucky,other,WP Kuala Lumpur,3.1640868,101.7164393
Universiti Malaya,education,WP Kuala Lumpur,3.123274271784879,101.65514704432324
Tropicana Golf & Country Resort,residential,Petaling,3.1326221698314463,101.58510122156946
Tropicana Golf & Country Resort,exercise,Petaling,3.132741189577556,101.58544516924654
Kawasan Perindustrian Bukit Angkat,work,Hulu Langat,3.002218504961905,101.76857311687678
Kelab Golf Negara Subang,exercise,Petaling,3.088033200135442,101.59758300675666
Kawasan Perindustrian Pandamaran,work,Klang,2.997166182004073,101.41270735361329
Bandar Bukit Tinggi 2,residential,Klang,2.9967305561207773,101.43637005907895
Taman Mayang,residential,Petaling,3.1135998594128496,101.5966593252982
Taman Megah Emas,residential,Petaling,3.11184297045959,101.5934309292234
Kelab Golf Seri Selangor,exercise,Petaling,3.1465510038277342,101.58789870614224
TTDI Grove,residential,Hulu Langat,2.9971049564529904,101.81221698624977
Taman Megah Mas Apartments,residential,Petaling,3.1098241209089035,101.59406808596836
Kelana Course,exercise,Petaling,3.0908935352434423,101.59392150901688
Pelabuhan Selatan,work,Klang,2.993482465629346,101.39528055932033
