h3_index,district,lat,lon,pop_est,activity_score,pop_n,act_n,equity_mult,demand_pressure,supply_raw,supply_n,supply_gap,nearest_station_km,stations_2km,stations_5km,cdi
8865051013fffff,Sepang,2.7875395096758426,101.70426488755668,0.0,0.6000000000000001,0.0,0.002026068751266293,0.8074238578680203,0.0008179481237266363,0.4907359310159444,0.028705597990804278,0.9712944020091957,3.19,0,4,0.0698699811032566
8865058d25fffff,Sepang,2.7149495970058135,101.73806544072299,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.053339651389410235,0.0031201028760706475,0.9968798971239293,6.72,0,0,0.0
8865058ca1fffff,Sepang,2.661073459657295,101.63412515161073,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0030987293753843835,0.00018126017295682812,0.9998187398270432,10.87,0,0,0.0
886505104bfffff,Sepang,2.768564095696989,101.74751167539381,644.8669201520912,1.9,0.026857853995183843,0.006415884379009927,0.8074238578680203,0.013433005101891361,0.055749241018368006,0.0032610518199730773,0.996738948180027,6.91,0,0,1.1775208022194472
88650518abfffff,Sepang,2.9726953120392365,101.72133151108245,967.3003802281368,7.4,0.04028678099277576,0.02498818126561761,0.8074238578680203,0.026352280924430697,6.862775999876336,0.4014380780016478,0.5985619219983522,0.52,11,21,1.3872070156129515
8865058de1fffff,Sepang,2.695722419799943,101.68680571710811,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.11384344352474295,0.006659272160782381,0.9933407278392177,5.47,0,0,0.0
8865051017fffff,Sepang,2.7948962130604187,101.70944307758872,1289.7338403041824,3.0,0.053715707990367685,0.010130343756331463,0.8074238578680203,0.02577541270548054,0.3895716547772685,0.022787993712824986,0.977212006287175,3.24,0,4,2.2151768367279243
886505103dfffff,Sepang,2.808898774740945,101.7287346055699,644.8669201520912,22.4,0.026857853995183843,0.07563990004727492,0.8074238578680203,0.04137956599588476,0.17670500687456878,0.010336359271273476,0.9896636407287265,3.93,0,2,3.6015340565512934
8865051053fffff,Sepang,2.7706954251629683,101.72071168969948,0.0,0.4,0.0,0.0013507125008441951,0.8074238578680203,0.0005452987491510908,0.31833990410906166,0.01862129250015932,0.9813787074998407,3.96,0,6,0.047063596513622984
8865051709fffff,Sepang,2.7381730849302715,101.6412165145097,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.19443760321878667,0.01137362748380586,0.9886263725161941,4.87,0,2,0.0
8865058ce1fffff,Sepang,2.644241259094166,101.65057308420022,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0016487361223788762,9.644281849088361e-05,0.9999035571815091,11.81,0,0,0.0
886505188dfffff,Sepang,2.9565466494694634,101.72884732834116,644.8669201520912,11.7,0.026857853995183843,0.039508340649692705,0.8074238578680203,0.026792824456093083,4.025250600398281,0.23545703145898725,0.7645429685410128,1.2,3,21,1.8015004572032192
8865050a59fffff,Sepang,2.9829124896654036,101.6907530653976,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,1.9645771069239522,0.11491793669264455,0.8850820633073555,2.11,0,16,0.0
8865051295fffff,Sepang,2.7426915102673752,101.6821331466524,322.4334600760456,25.2,0.013428926997591921,0.08509488755318428,0.8074238578680203,0.039775239218230556,3.342324385088252,0.1955092629035313,0.8044907370964687,0.36,4,6,2.8141537928328506
8865051705fffff,Sepang,2.7535959436187385,101.64263516610959,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.24497207048539596,0.014329641116293701,0.9856703588837064,4.65,0,6,0.0
8865058c0dfffff,Sepang,2.632641510993467,101.69898751702843,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0009996971000118433,5.8477281266328244e-05,0.9999415227187337,12.58,0,0,0.0
8865051007fffff,Sepang,2.8008310877827647,101.7324904835521,0.0,0.6,0.0,0.0020260687512662925,0.8074238578680203,0.0008179481237266361,0.127740323207048,0.007472170129473946,0.992527829870526,4.67,0,2,0.07139740595030565
886505170bfffff,Sepang,2.7388823521165877,101.63228090291257,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.10443937291155424,0.006109181055897378,0.9938908189441026,5.85,0,0,0.0
8865051609fffff,Sepang,2.686679518005648,101.60498084095566,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.003068661732651403,0.00017950136621317433,0.9998204986337869,10.95,0,0,0.0
8865050209fffff,Sepang,2.8461534487943467,101.65114973012173,644.8669201520912,5.1,0.026857853995183843,0.017221584385763485,0.8074238578680203,0.017795395095100086,0.16829877144174088,0.00984463653466593,0.9901553634653341,5.53,0,0,1.5496190923635378
88650511d9fffff,Sepang,2.818389241056202,101.70710805866345,644.8669201520912,1.0,0.026857853995183843,0.0033767812521104876,0.8074238578680203,0.012206082916301406,0.8531253944627909,0.04990356943803961,0.9500964305619604,1.33,2,2,1.0199009160264187
8865058d97fffff,Sepang,2.691910367455753,101.63696131781079,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.02254340423010095,0.0013186764169352194,0.9986813235830648,7.91,0,0,0.0
88650518c9fffff,Sepang,2.9323264217998224,101.74011931273057,1289.7338403041824,3.0,0.053715707990367685,0.010130343756331463,0.8074238578680203,0.02577541270548054,1.4144903795632926,0.08274061390521002,0.91725938609479,2.8,0,14,2.0792742335088943
886505176dfffff,Sepang,2.7514670221938213,101.6694412950015,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,1.5875670720625568,0.09286473492927358,0.9071352650707264,1.84,4,6,0.0
8865058dddfffff,Sepang,2.666304062088917,101.66610050376494,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.010916100341129515,0.0006385372829151249,0.9993614627170849,8.97,0,0,0.0
8865051099fffff,Sepang,2.783734406869898,101.65440927722437,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.28334312939900513,0.016574156184459243,0.9834258438155408,3.85,0,2,0.0
8865058de9fffff,Sepang,2.6876590333728094,101.69056186136179,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.061637558313901344,0.003605488936647927,0.9963945110633521,6.39,0,0,0.0
88650510d7fffff,Sepang,2.783024192240509,101.66334540108238,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.4651877640193377,0.027211157977642297,0.9727888420223577,3.02,0,6,0.0
8865050263fffff,Sepang,2.8608714667660555,101.66150756482362,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.4082709061246952,0.023881806409191,0.976118193590809,4.24,0,3,0.0
8865058d35fffff,Sepang,2.7090137879445204,101.71502438705944,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.1426168195844987,0.008342370776161219,0.9916576292238388,5.18,0,0,0.0
886505120bfffff,Sepang,2.7289487024023105,101.75735162964888,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.022191954651611646,0.001298118374052022,0.998701881625948,8.16,0,0,0.0
886505123bfffff,Sepang,2.7457879937769554,101.74091082990309,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.09194449908634851,0.005378293418976973,0.994621706581023,6.12,0,0,0.0
8865050041fffff,Sepang,2.8938694047092692,101.63752971204299,1612.1673003802282,4.0,0.06714463498795961,0.01350712500844195,0.8074238578680203,0.03256007760007011,1.788609687414537,0.10462472259385389,0.8953752774061461,2.56,0,17,2.5639202328317854
886505105bfffff,Sepang,2.762629247755437,101.72446742997904,322.4334600760456,2.1,0.013428926997591921,0.007091240629432024,0.8074238578680203,0.008284236454755067,0.2843254559537654,0.016631617375691483,0.9833683826243085,4.36,0,6,0.7164447533296876
8865058c61fffff,Sepang,2.6392866896913723,101.71309386310081,644.8669201520912,62.7,0.026857853995183843,0.2117241845073276,0.8074238578680203,0.09631841497285717,0.0013381084113906598,7.827265072270818e-05,0.9999217273492773,12.16,0,0,8.470115100757104
8865058c8dfffff,Sepang,2.6375946464744615,101.63646483560784,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0007126652528119066,4.168735353631322e-05,0.9999583126464637,13.07,0,0,0.0
8865058c55fffff,Sepang,2.6179355970327425,101.68863649111952,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0003559819726421577,2.0823165276453443e-05,0.9999791768347236,14.12,0,0,0.0
88650501e1fffff,Sepang,2.973184464411603,101.61780040788483,644.8669201520912,1.0,0.026857853995183843,0.0033767812521104876,0.8074238578680203,0.012206082916301406,0.7543848175583938,0.04412773945116705,0.955872260548833,2.82,0,8,1.0261011017180335
8865058d67fffff,Sepang,2.6988226619674376,101.74557412403045,0.0,0.5,0.0,0.0016883906260552438,0.8074238578680203,0.0006816234364388635,0.016932363657460585,0.0009904586019998925,0.9990095413980001,8.41,0,0,0.059886389436494165
8865058dd9fffff,Sepang,2.658949701790483,101.66092455516538,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0058534464971174635,0.0003423973493424024,0.9996576026506576,9.91,0,0,0.0
8865050133fffff,Sepang,2.9798333847983423,101.63192355773376,1934.6007604562733,7.1,0.08057356198555152,0.02397514688998446,0.8074238578680203,0.0422075609277029,0.978317283719289,0.057226668925102774,0.9427733310748972,2.64,0,9,3.4995445329088395
8865051001fffff,Sepang,2.792763776001662,101.73624612953637,0.0,0.4,0.0,0.0013507125008441951,0.8074238578680203,0.0005452987491510908,0.09789814285476556,0.005726551807644022,0.994273448192356,5.49,0,0,0.04768198457163007
8865058d2dfffff,Sepang,2.7068859398858387,101.74181989833693,644.8669201520912,1.0,0.026857853995183843,0.0033767812521104876,0.8074238578680203,0.012206082916301406,0.03035493519105391,0.0017756119158166962,0.9982243880841833,7.55,0,0,1.0715648802140991
886505176bfffff,Sepang,2.744820195773098,101.65532895169343,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.5836104709538185,0.034138294148834104,0.9658617058511659,3.25,0,6,0.0
8865050025fffff,Sepang,2.940884338684693,101.63284651176313,2579.467680608365,28.0,0.10743141598073537,0.09454987505909365,0.8074238578680203,0.08154225661427109,4.39735206200019,0.257223106232485,0.742776893767515,0.44,6,22,5.326661400113172
8865050243fffff,Sepang,2.8380834157288346,101.65490891604905,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.15650757376154167,0.009154910433426146,0.9908450895665738,4.79,0,2,0.0
88650518b1fffff,Sepang,2.9741233166214185,101.70345237432522,644.8669201520912,1.0,0.026857853995183843,0.0033767812521104876,0.8074238578680203,0.012206082916301406,4.048037351647583,0.23678994245966484,0.7632100575403351,1.19,6,17,0.819283824006747
886505015dfffff,Sepang,2.9387455055838303,101.65966884692011,1934.6007604562733,19.1,0.08057356198555152,0.06449652191531031,0.8074238578680203,0.05856652340223563,5.361519179698219,0.3136220612046508,0.6863779387953493,0.35,7,26,3.535303800902603
8865058c3bfffff,Sepang,2.6428258713091957,101.66843769254798,0.0,0.8,0.0,0.0027014250016883902,0.8074238578680203,0.0010905974983021816,0.0020461422084754087,0.00011968908725903576,0.999880310912741,11.48,0,0,0.09590174140744903
88650512b7fffff,Sepang,2.7661799774743385,101.6797963333174,322.4334600760456,4.6,0.013428926997591921,0.015533193759708243,0.8074238578680203,0.011692353636949385,2.2447226369796396,0.13130504930543194,0.868694950694568,0.42,2,6,0.8932709671893994
886505102bfffff,Sepang,2.808187628090193,101.73766902099254,644.8669201520912,23.4,0.026857853995183843,0.07901668129938541,0.8074238578680203,0.04274281286876249,0.09807880108919584,0.005737119410958799,0.9942628805890412,4.9,0,2,3.73747507297851
886505031bfffff,Sepang,2.892445187629862,101.65540871921797,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,2.6543875531676937,0.15526839833244405,0.8447316016675559,1.65,4,19,0.0
8865051193fffff,Sepang,2.8440193583377136,101.67796258652818,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.3675919067810728,0.021502288366954395,0.9784977116330456,2.99,0,2,0.0
8865050337fffff,Sepang,2.930671750230356,101.66342877526674,322.4334600760456,8.8,0.013428926997591921,0.029715675018572293,0.8074238578680203,0.017417990503035836,6.582557111966427,0.38504667432122175,0.6149533256787783,0.45,8,28,0.9420071159999955
8865058c29fffff,Sepang,2.6480558373596343,101.7004081475681,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.003057951413453874,0.00017887486609813086,0.9998211251339019,10.9,0,0,0.0
88650512e1fffff,Sepang,2.747208009567395,101.7230452912784,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.33437230909258475,0.019559108020066357,0.9804408919799337,4.15,0,6,0.0
8865051297fffff,Sepang,2.743401115291601,101.67319872058454,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,1.9472621511470338,0.11390509836484616,0.8860949016351538,1.28,4,6,0.0
88650518a5fffff,Sepang,2.9874167652758348,101.73169403249551,322.4334600760456,7.1,0.013428926997591921,0.02397514688998446,0.8074238578680203,0.015100470819143702,4.39474252761268,0.2570704615200508,0.7429295384799492,1.11,5,22,0.9866249504009534
886505002dfffff,Sepang,2.9328102253813113,101.63660745874839,1289.7338403041824,15.3,0.053715707990367685,0.051664753157290466,0.8074238578680203,0.04254334924187658,5.46361516271074,0.31959416566980803,0.680405834330192,0.43,8,21,2.5457378834937807
8865051759fffff,Sepang,2.7153950499548105,101.63462128659849,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.06256988537443203,0.003660025407495163,0.9963399745925048,6.44,0,0,0.0
886505162bfffff,Sepang,2.710164818710876,101.60263831478173,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.006592126562490122,0.0003856064393238728,0.9996143935606762,9.89,0,0,0.0
8865058da3fffff,Sepang,2.713268344526159,101.66142506988916,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.23883984011201612,0.013970936304276335,0.9860290636957236,4.35,0,4,0.0
8865058c2dfffff,Sepang,2.6554092825844817,101.70558412236163,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.00487074932912368,0.00028491447908928684,0.9997150855209107,10.21,0,0,0.0
8865051113fffff,Sepang,2.839038220940826,101.74051518383048,967.3003802281368,9.8,0.04028678099277576,0.03309245627068278,0.8074238578680203,0.029624073419337246,0.07226168188925029,0.004226947038823626,0.9957730529611764,5.28,0,0,2.5942936008349506
886505162dfffff,Sepang,2.7168126403524266,101.61675057774855,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.020824420524989472,0.0012181244661344736,0.9987818755338655,8.15,0,0,0.0
886505111bfffff,Sepang,2.8309694044675147,101.7442709672462,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.06187506134705637,0.0036193816764300553,0.9963806183235699,5.47,0,0,0.0
8865058d3dfffff,Sepang,2.7009501378193175,101.71877963445331,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.0749174654008214,0.004382297093742041,0.995617702906258,6.14,0,0,0.0
8865051abdfffff,Sepang,2.9168946311696344,101.73869578091136,967.3003802281368,3.2,0.04028678099277576,0.010805700006753561,0.8074238578680203,0.020626644058344242,0.6855778678265985,0.040102876967824205,0.9598971230321758,3.45,0,4,1.7412745152587408
8865051237fffff,Sepang,2.7612086516277823,101.74233371437985,322.4334600760456,3.7,0.013428926997591921,0.012494090632808805,0.8074238578680203,0.01046543145135943,0.08373184812808922,0.0048978944060933515,0.9951021055939067,6.35,0,0,0.9158803937102047
8865058d01fffff,Sepang,2.6848239750941927,101.72628943390184,0.0,0.0,0.0,0.0,0.8074238578680203,0.0,0.02044666744824686,0.0011960278001367061,0.9988039721998633,8.09,0,0,0.0
8865050029fffff,Sepang,2.925449090304752,101.63142746528499,7093.536121673003,28.7,0.29543639394702226,0.096913621935571,0.8074238578680203,0.15839638172925125,4.199924417744367,0.2456745763000089,0.7543254236999911,0.84,6,19,10.50794961369906
8865051aa1fffff,Sepang,2.923540403913932,101.75281323520137,967.3003802281368,2.0,0.04028678099277576,0.006753562504220975,0.8074238578680203,0.01899074781089097,1.013651641349728,0.0592935521535284,0.9407064478464716,1.73,1,6,1.5711229295630709
