name,latitude,longitude,poi_type,category,district,state
A&W,3.2109441,101.65012,fast_food,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Wolfgang,3.211242899999999,101.6495913,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
煲煲喜 绝味啦啦煲 高汤鸡煲,3.2113103,101.649489,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Moment Cuisine,3.2117897,101.6486718,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Hwa Loong,3.2121801,101.6479508,hotel,entertainment,WP Kuala Lumpur,W.P. Kuala Lumpur
The Luna Grand Ballroom,3.1353683,101.71666299999998,events_venue,community,WP Kuala Lumpur,W.P. Kuala Lumpur
Bangsar Hill Park Showroom,3.1422495000000006,101.66715379999998,estate_agent,other,WP Kuala Lumpur,W.P. Kuala Lumpur
BRDB,3.1418075999999995,101.6663565,estate_agent,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Tonka Bean Café & Deli,3.153788,101.71147489999998,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
ZUS Coffee,3.1287706,101.63503629999998,cafe,food_drink,Petaling,Selangor
Restoran Xing Long,3.128239,101.6341679,fast_food,food_drink,Petaling,Selangor
Smile Life,3.1282342,101.6342389,dentist,healthcare,Petaling,Selangor
Poliklinik mediMAX,3.128236,101.6343765,clinic,healthcare,Petaling,Selangor
Gental Care Dental Surgery,3.1282021,101.6343779,dentist,healthcare,Petaling,Selangor
Doux Doux,3.128202700000001,101.63465519999998,cafe,food_drink,Petaling,Selangor
N.I.C.E,3.1282449,101.63472249999998,cafe,food_drink,Petaling,Selangor
OSSU! おっすkushiyaki,3.1282056,101.6347935,restaurant,food_drink,Petaling,Selangor
AA Farmasi,3.1282504,101.6349309,pharmacy,healthcare,Petaling,Selangor
AEON,2.9698068,101.7165413,sports_centre,exercise,Sepang,Selangor
Restoran Tanjung,2.9922406,101.8037994,restaurant,food_drink,Hulu Langat,Selangor
BEB Stone Oven,3.0206145,101.7833343,restaurant,food_drink,Hulu Langat,Selangor
Pak Tam Sri Corner,3.2330094,101.6895469,restaurant,food_drink,Gombak,Selangor
Surau Al-Ehsan,3.2316137,101.693486,place_of_worship,community,Gombak,Selangor
Surau Al-Sheikh Daud Desa Batu Caves,3.2328850999999994,101.69001299999998,place_of_worship,community,Gombak,Selangor
Irfan Sup,3.2327731,101.6893266,restaurant,food_drink,Gombak,Selangor
Apartment fiona,3.2289732,101.6941083,residential,residential,Gombak,Selangor
FLAT TAMAN SAMUDRA,3.2331757000000003,101.700074,residential,residential,Gombak,Selangor
MYSAYUR.COM,3.2351700999999995,101.6965777,supermarket,shopping,Gombak,Selangor
Subway,3.1635608,101.6567751,fast_food,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
myNEWS.com,3.1665828,101.652319,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Pizza Hut,3.1658553,101.6521925,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Luckin Coffee,3.1471542,101.66268499999998,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Smart Fert Sdn Bhd,2.9481164000000004,101.3160874,company,work,Klang,Selangor
Namaste India,3.1100482999999994,101.6637762,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Tok Janggut Seafood,3.1117045,101.6622011,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Dulce Vida,3.1097036,101.66571709999998,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Hotel Indigo by IHG,3.1527747999999995,101.7059243,hotel,entertainment,WP Kuala Lumpur,W.P. Kuala Lumpur
Holiday Inn Kuala Lumpur,3.1269150000000003,101.6759093,hotel,entertainment,WP Kuala Lumpur,W.P. Kuala Lumpur
Taska & Tadika Murni,3.1130676,101.6606661,kindergarten,education,WP Kuala Lumpur,W.P. Kuala Lumpur
Excellent Link (M) Sdn Bhd,2.947628999999999,101.3166922,company,work,Klang,Selangor
Ameen’s Cafe,3.1511295999999995,101.6979739,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Omar Khayam,3.1532867,101.6991218,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Khan Jee 3,3.1533384999999994,101.6992943,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Bistro Barbeku Yee Pin,2.8287058,101.7045144,restaurant,food_drink,Sepang,Selangor
Ju Jiao,2.8286754,101.70609469999998,restaurant,food_drink,Sepang,Selangor
Bali Shijia,2.8287114,101.7047019,restaurant,food_drink,Sepang,Selangor
Klinik Pergigian Madihah,2.8269227,101.69279779999998,dentist,healthcare,Sepang,Selangor
Ali Habi Nasi Arab,2.8269798999999995,101.6927902,restaurant,food_drink,Sepang,Selangor
Luckin Coffee,3.1394163,101.70943289999998,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
TMG Mart,3.1087378999999995,101.7067679,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
KK Super Mart,3.121675199999999,101.71155439999998,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Mixue,3.1093865,101.7050373,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Bingxue,3.1095243999999997,101.7050469,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
KK Super Mart,3.1084167,101.7053019,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
7-Eleven,3.1080969,101.7053468,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
99 Speedmart,3.1080969,101.7054874,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
KFC,3.1080716,101.7051242,fast_food,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Pizza Hut,3.1075256,101.7053507,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Joy Hi Mart,3.1073189,101.7053703,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
KK Super Mart,3.1072155999999995,101.7056847,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
7-Eleven,3.1071824,101.70582330000002,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Unknown,3.2196763,101.7215581,subway_entrance,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Mixue,3.1344745,101.7697019,cafe,food_drink,Hulu Langat,Selangor
Parkson,2.9699262,101.7163967,department_store,shopping,Sepang,Selangor
Madam Kwan's,2.9697488999999995,101.7172879,restaurant,food_drink,Sepang,Selangor
TRUEclinic,3.1540786,101.5933671,clinic,healthcare,Petaling,Selangor
Young Sanna Mee,3.1534149,101.59130849999998,restaurant,food_drink,Petaling,Selangor
Klinik Q,3.1544633,101.5922865,clinic,healthcare,Petaling,Selangor
Warung Soho,3.1640358,101.6559548,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
KCBC Korean Language,2.8286696999999994,101.7053198,language_school,other,Sepang,Selangor
Ayam Penyet Best Station,3.1013754,101.7411983,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Klinik Metromedic,3.1516898,101.6982055,clinic,healthcare,WP Kuala Lumpur,W.P. Kuala Lumpur
Metrodental,3.1518333,101.6984209,dentist,healthcare,WP Kuala Lumpur,W.P. Kuala Lumpur
Victoria's Secret,2.748624599999999,101.7129136,clothes,shopping,Sepang,Selangor
Hugo Boss,2.7483727999999994,101.7139023,clothes,shopping,Sepang,Selangor
Michael Kors,2.7473905,101.7141903,clothes,shopping,Sepang,Selangor
Starbucks,2.747351,101.7140269,cafe,food_drink,Sepang,Selangor
Kepler,2.747237699999999,101.7143073,hotel,entertainment,Sepang,Selangor
Kapten Batik,2.7482202,101.7142585,clothes,shopping,Sepang,Selangor
Restoran Shaazry Maju Puchong,3.0649033,101.6505172,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
7-Eleven,2.9706504,101.7334131,convenience,shopping,Sepang,Selangor
Mixue,2.9709417,101.7333812,cafe,food_drink,Sepang,Selangor
Marqa Cafe,2.8286788,101.70554289999998,restaurant,food_drink,Sepang,Selangor
ML Kitchen Spicy Temptation,2.8287683,101.7066209,restaurant,food_drink,Sepang,Selangor
AllAce,2.8288139000000005,101.7056132,fast_food,food_drink,Sepang,Selangor
Mixue,2.825099,101.7060915,cafe,food_drink,Sepang,Selangor
Kingdomcity KL (Putra),3.1664071,101.6927077,place_of_worship,community,WP Kuala Lumpur,W.P. Kuala Lumpur
Nomee notalk 糠乐面房,3.035188,101.76470759999998,restaurant,food_drink,Hulu Langat,Selangor
McDonald's,3.1217081,101.739438,fast_food,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
The Coffee Bean & Tea Leaf,3.1214914,101.7398308,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Lulu Hypermarket,3.122623700000001,101.7398514,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Mee Tarik No 1,3.1621956,101.7168376,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
KK Super Mart,3.1618142,101.7168051,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Lilly Nguyen Cafe @ Kuchai Lama,3.0894162,101.68871199999998,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Unknown,3.0047842,101.7866379,parking,transport,Hulu Langat,Selangor
Unknown,3.0046662,101.786732,parking,transport,Hulu Langat,Selangor
Unknown,2.9448195,101.7967013,parking,transport,Hulu Langat,Selangor
Che'dil,2.8077534,101.695071,restaurant,food_drink,Sepang,Selangor
Warung New York,2.8076570000000003,101.6950723,restaurant,food_drink,Sepang,Selangor
Anis Tomyam,2.8065511999999995,101.6950742,restaurant,food_drink,Sepang,Selangor
myNEWS.com,2.8058262,101.6950927,convenience,shopping,Sepang,Selangor
Al-Fariz Maju,2.9328492,101.7686284,restaurant,food_drink,Hulu Langat,Selangor
Mixue,2.932684899999999,101.6382457,cafe,food_drink,Sepang,Selangor
ZUS Coffee,2.9299574000000006,101.6544492,cafe,food_drink,Sepang,Selangor
Gigi Coffee,3.1141485,101.663324,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Gong Cha,3.1142015,101.6632302,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Terminal Bas KLIA T2 (Door 2 Level 1),2.7452665999999994,101.6847142,bus_station,transport,Sepang,Selangor
Jogja Ayam Gempuk,2.8842585999999995,101.7909459,restaurant,food_drink,Hulu Langat,Selangor
Subway,2.8857849999999994,101.7903304,fast_food,food_drink,Hulu Langat,Selangor
Bingchun Ice Cream & Tea,2.8858312999999995,101.79037769999998,cafe,food_drink,Hulu Langat,Selangor
Thai Street Mart,2.8856679999999995,101.79010689999998,convenience,shopping,Hulu Langat,Selangor
FamilyMart,2.8854519,101.79062,convenience,shopping,Hulu Langat,Selangor
Crystal Villa,2.8858853999999994,101.7911789,hotel,entertainment,Hulu Langat,Selangor
Poliklinik An Nur,2.8857396,101.7909753,clinic,healthcare,Hulu Langat,Selangor
Big Pharmacy,2.8855208999999995,101.7907007,pharmacy,healthcare,Hulu Langat,Selangor
Pop,2.8855746,101.7907525,restaurant,food_drink,Hulu Langat,Selangor
Aruna Tomyam,2.8852945999999995,101.7904299,restaurant,food_drink,Hulu Langat,Selangor
Restoran Belanga Emas,2.8852102,101.79031659999998,restaurant,food_drink,Hulu Langat,Selangor
Cik Na Nasi Dagang Ganu,2.8851105,101.7902052,restaurant,food_drink,Hulu Langat,Selangor
LTP Electrical Hardware,2.885074,101.7901476,electronics,shopping,Hulu Langat,Selangor
Starbucks,3.1305849,101.627381,cafe,food_drink,Petaling,Selangor
Burger King,3.1302861,101.6271794,fast_food,food_drink,Petaling,Selangor
Nando's,3.130256,101.6273367,restaurant,food_drink,Petaling,Selangor
PC Studio Cafe,3.1301957,101.629515,cafe,food_drink,Petaling,Selangor
Toast & Roast,3.1283073,101.6279721,restaurant,food_drink,Petaling,Selangor
Kafe Pin Chou,3.1265155,101.6254485,restaurant,food_drink,Petaling,Selangor
Blossom Deli Cafe,3.1264938999999994,101.6255002,cafe,food_drink,Petaling,Selangor
Calibrate Small Space,3.1264772,101.62556789999998,cafe,food_drink,Petaling,Selangor
Restoran Hock Thai,3.1263889,101.6257657,restaurant,food_drink,Petaling,Selangor
Jaya Grocer,3.1328312,101.6298764,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
