scenario,cum_pop_share,cum_access_share
current,0.1155573082862311,0.00386567692195458
current,0.11584848227213466,0.0038941597862255394
current,0.11597527402765058,0.0039068066819076775
current,0.11607526483371225,0.0039168613263331695
current,0.11619098584727003,0.003928531556507687
current,0.11633657284022181,0.003943297910580468
current,0.11645229385377959,0.003955094730074155
current,0.11655228465984126,0.003965314488959463
current,0.11695224788408795,0.00400619751985924
current,0.11701564376184591,0.00401271274420167
current,0.11705421743303183,0.00401668682365393
current,0.11720851211777554,0.004032621791240655
current,0.11779086008958266,0.004092867632874741
current,0.11785425596734062,0.004099444080153608
current,0.1198924738686655,0.004311320700636745
current,0.12000819488222328,0.004323432398538579
current,0.1203081673004083,0.0043550744783252245
current,0.12060813971859333,0.004386748566277105
current,0.12064671338977925,0.004390826666967338
current,0.12071010926753721,0.0043975676940670675
current,0.12085569626048899,0.004413086040256701
current,0.12105567787261234,0.004434434044378237
current,0.12120126486556412,0.0044500369296235015
current,0.1213468518585159,0.004466000592182493
current,0.12164682427670093,0.0044989828704047035
current,0.12196380366549071,0.004534020955331218
current,0.12209059542100663,0.004548065234685169
current,0.12240757480979642,0.0045833751058919955
current,0.12270754722798144,0.004616832375986099
current,0.12300751964616646,0.004650370294029491
current,0.12332449903495625,0.004686123731373311
current,0.12336307270614218,0.004690481117299571
current,0.12351736739088588,0.0047079417738066605
current,0.12366295438383766,0.004724441957475299
current,0.12370152805502359,0.004728822409384616
current,0.12657395942596217,0.005056817884165864
current,0.12665110676833402,0.00506565779317656
current,0.126714502646092,0.005072947845431913
current,0.12679164998846384,0.005081860815525064
current,0.12690737100202162,0.005095249697113828
current,0.12734413198087696,0.005145876008940399
current,0.12742127932324882,0.005154825558279818
current,0.12745985299443474,0.005159310687568618
current,0.12757557400799252,0.0051728202190350235
current,0.1276912950215503,0.005186415340269432
current,0.12783688201450208,0.005203530797863985
current,0.12793687282056376,0.0052153336335742945
current,0.1281368544326871,0.005238975066313743
current,0.12817542810387303,0.005243551029163871
current,0.12837540971599637,0.005267360550508348
current,0.13092517527056904,0.005572671131834239
current,0.13096374894175497,0.0055772926215459425
current,0.13146370297206333,0.0056373257076480525
current,0.13166368458418667,0.005661377160769812
current,0.13197227395367409,0.0056985000675878065
current,0.13217225556579743,0.005722768285817758
current,0.13260901654465276,0.00577636895421802
current,0.1329089889628378,0.005813187511769699
current,0.13302470997639557,0.005827406454792861
current,0.13310185731876742,0.005836902531572321
current,0.13317900466113927,0.005846466703517059
current,0.13324240053889724,0.005854327960312409
current,0.13382474851070436,0.005926656121067283
current,0.1340247301228277,0.00595169185931247
current,0.13412472092888938,0.005964216965736869
current,0.1341632946000753,0.005969063427704478
current,0.134263285406137,0.005981642664568075
current,0.1347070565504427,0.006037798478611706
current,0.13490703816256605,0.0060631946982177345
current,0.1349841855049379,0.006073060548384014
current,0.13518416711706124,0.0060986721356092845
current,0.13613510528343062,0.006220517727488865
current,0.1362806922763824,0.006239174659663907
current,0.13658066469456742,0.0062776448337764496
current,0.13688063711275245,0.006316232215881776
current,0.13728060033699915,0.006367756722090213
current,0.14015303170793772,0.006740107775548456
current,0.1402530225139994,0.006753132381710866
current,0.1403530133200611,0.0067661610744671075
current,0.14049860031301287,0.0067851419208382275
current,0.14064418730596465,0.00680425721253366
current,0.14137212227072354,0.006900193826058174
current,0.14147211307678523,0.00691342319177986
current,0.1415721038828469,0.006926763919080173
current,0.14177208549497025,0.006953482619852102
current,0.14207205791315528,0.006993946224959867
current,0.14247202113740198,0.007047918006136809
current,0.14254916847977384,0.007058348676127569
current,0.14299293962407955,0.007118394863831916
current,0.14349289365438792,0.007186087581354104
current,0.1436384806473397,0.007206129681708255
current,0.14375420166089747,0.007222161236707578
current,0.14386992267445525,0.007238219501410861
current,0.14412350618548708,0.007273693759559107
current,0.14426909317843886,0.007294103177299582
current,0.1444690747905622,0.007322290729480544
current,0.14461466178351398,0.007342845136715958
current,0.14490583576941754,0.007383974620641149
current,0.14505142276236932,0.0074045396896234164
current,0.1451970097553211,0.0074251968465904195
current,0.14523558342650703,0.0074307523314909385
current,0.14563554665075373,0.007488601915472583
current,0.14576233840626965,0.007506942723512616
current,0.14663586036398032,0.007633520870505867
current,0.14683584197610366,0.007662520999198473
current,0.14733579600641203,0.0077350333542558014
current,0.1475672380335276,0.007768655284982824
current,0.14764438537589944,0.0077798719409453276
current,0.14804434860014615,0.0078381843980425
current,0.14954421069107127,0.008057004184489253
current,0.150544118751688,0.008202955303992487
current,0.15074410036381133,0.008232213119537937
current,0.15263116164857884,0.008508333499263885
current,0.15273115245464053,0.00852297110839651
current,0.15303112487282555,0.008567161714840227
current,0.1532311064849489,0.008596739557354263
current,0.1535480858737387,0.00864364042786016
current,0.15374806748586203,0.008673280945144706
current,0.15454799393435542,0.0087927021242185
current,0.1546935809273072,0.008814457769781283
current,0.15482037268282312,0.008833406186605133
current,0.15494716443833903,0.008852365227390427
current,0.15524713685652405,0.00889725351705507
current,0.1554471184686474,0.008927194882220319
current,0.15559270546159917,0.008949054849677342
current,0.15569269626766086,0.008964168900858879
current,0.15573126993884678,0.008970006987314915
current,0.15703115041764854,0.00916674323395381
current,0.15743111364189524,0.009227361223345144
current,0.15830463559960592,0.009360164801848205
current,0.15850461721172926,0.009390581329930134
current,0.1585817645541011,0.009402377258537471
current,0.15887293854000467,0.009447093460675184
current,0.15901852553295645,0.00946948219358467
current,0.1592185071450798,0.009500408898378838
current,0.15929565448745164,0.009512356920150258
current,0.15949563609957498,0.009543336919606767
current,0.15955903197733295,0.009553201899870918
current,0.1597904740044485,0.009589245176524866
current,0.1604848000857952,0.009697508691690499
current,0.16060052109935297,0.0097156106046824
current,0.16100048432359967,0.009778205560458672
current,0.16110047512966136,0.00979385573172603
current,0.1618004107720931,0.009903492430301076
current,0.16200039238421643,0.009934973175021344
current,0.16243715336307177,0.010003971197020407
current,0.16256394511858768,0.010024048814705349
current,0.1626907368741036,0.010044210083407366
current,0.16283632386705538,0.010067392112844383
current,0.16538608942162805,0.01047546681094521
current,0.16557627705490194,0.010505950357363006
current,0.16567626786096362,0.010521979301874183
current,0.1658218548539154,0.01054540536807939
current,0.16596744184686718,0.010568831493227246
current,0.16606743265292886,0.010584933786199891
current,0.1663674050711139,0.010633286127403692
current,0.16644455241348574,0.010645813781903003
current,0.16688131339234108,0.010716753160146556
current,0.1686283573077624,0.011002661707910888
current,0.1687283481138241,0.011019088561200896
current,0.16923551513588775,0.011102869825702
current,0.16938110212883953,0.011126946198087458
current,0.16968107454702455,0.011176569467866536
current,0.16971964821821048,0.011182971505871995
current,0.16981963902427216,0.011199622987884765
current,0.16996522601722394,0.011223902225955045
current,0.17011081301017572,0.011248197396090405
current,0.17171226993264527,0.011516235761534176
current,0.17181226073870695,0.011532987560398902
current,0.17195784773165873,0.011557421733735161
current,0.17295775579227546,0.01172599200417866
current,0.17345770982258382,0.011810345635864977
