ds,policy_cap,policy_lo,policy_hi,accel_cap,actual
2023-04-01,446.1232712459247,22.529672062217863,851.3144586122324,489.0914926519546,428.047130691879
2023-05-01,614.9737556882391,177.72929808889677,1038.0696774594605,643.8347487934113,675.0699241748575
2023-06-01,492.02548839425214,77.06300225268083,928.6998236445015,541.6245701742748,554.3870327022573
2023-07-01,417.41106268679954,29.16828516584758,851.9417699405167,437.2969927640378,588.9576526553459
2023-08-01,490.4888617200465,63.75279892183516,913.7503642796331,517.5474179370422,719.068895024243
2023-09-01,384.0218865213634,0.0,794.6607030307588,417.6865103423836,564.443940324974
2023-10-01,530.1593105892316,93.76555602664715,930.5023045434143,527.2253248848624,862.3798286479558
2023-11-01,662.1022187473224,254.50936547082756,1100.383010640988,669.9642008457765,979.2913797620372
2023-12-01,1515.4213544580452,1105.1424700939158,1945.76678811603,1496.7564180300574,1874.9847149102425
2024-01-01,773.2112126986459,350.08445611107675,1191.6289210435518,780.2110959970425,881.8650871669694
2024-02-01,625.1730524809218,193.4739435373246,1056.0258764362316,651.4328341755221,644.8992013067075
2024-03-01,1069.546764333039,617.5248527006077,1487.686960756977,1083.5333498330494,1420.538201708732
2024-04-01,871.9094732754215,420.64956955885293,1281.8014142886836,862.7692891443102,1011.3477728094468
2024-05-01,1226.4231423884771,818.759676739748,1646.3714887768099,1220.479364031447,1541.849649907752
2024-06-01,1055.3358873937766,653.7203984905001,1481.1840504678767,1028.6372961978461,1201.800460914644
2024-07-01,1056.8965833136003,662.367356681561,1497.70699636625,1041.25235167795,1184.2008725748897
2024-08-01,1189.2038069956839,786.3977322275119,1611.549944897886,1160.3235887229057,1115.0596326687123
2024-09-01,1264.1861882286726,845.1203603865489,1686.1864734182275,1221.076991473805,951.0063270731466
2024-10-01,1412.3141890448433,984.4714990684816,1850.9269707156516,1382.3892798885329,986.205503752655
2024-11-01,1641.6516196521095,1208.7589405601152,2061.976989346053,1593.6617109387437,1134.544891187726
2024-12-01,2050.2571873973466,1633.5954502454688,2479.668705398172,2008.29515275373,1622.3049108894854
2025-01-01,1747.9485390426692,1329.9760647799333,2184.2293436119057,1676.1937292511502,1062.8894243758698
2025-02-01,1543.8902808211942,1119.757738779246,1971.3336483884132,1438.5471334337244,1357.6825290667523
2025-03-01,1983.2206912601805,1574.9318409467198,2427.28956202496,1921.566402637606,1870.584817825304
2025-04-01,1980.3346646201926,1541.3780679835422,2415.9798650640605,1938.0533063110086,1817.786052806041
2025-05-01,2328.168555228958,1877.5643608726061,2769.902425487092,2291.5022251810005,2609.76752809498
2025-06-01,2228.1800112677256,1831.1666294024692,2611.5635010518854,2195.6628103369953,2056.637608845562
2025-07-01,2257.583921324725,1834.6694816335787,2670.4648562924267,2235.9941447599203,1754.9303801640615
2025-08-01,2423.7246899813035,2011.3396003450343,2876.893832342733,2412.50484621551,2175.434830138903
2025-09-01,2489.134019388295,2068.6096990872466,2884.544825650155,2491.3104993043853,2220.0623577147085
2025-10-01,2683.258922679162,2268.3306220234763,3085.4401573848363,2705.349778759599,2731.078976294
2025-11-01,2925.5210687321623,2519.653970249592,3350.8209102119695,2967.0712636023172,3404.891787016018
2025-12-01,3527.394821473518,3141.336913400033,3914.881096844585,3595.022228908676,5105.766288707978
2026-01-01,3121.5462538377997,2688.5805871586163,3535.0947149711774,3214.1712418052803,3921.565416133088
2026-02-01,2973.763322151341,2559.462471681896,3416.4755036816755,3092.243151999048,2284.803700535947
2026-03-01,3305.6964492460834,2929.6304423155607,3754.323355559875,3448.1987242309383,2964.902078522163
2026-04-01,3470.0707070046224,3059.4891347566627,3910.3999465373345,3714.999193272438,
2026-05-01,3778.5910638232444,3367.3382984947625,4185.045722237019,4071.5051165982054,
2026-06-01,3714.1678602043303,3283.813284282554,4148.984068248887,4078.446680746255,
2026-07-01,3733.2683268986557,3326.1682843794597,4172.821024825247,4149.870866476108,
2026-08-01,3891.2752092180563,3480.0887559938287,4326.264785807401,4385.057250182379,
2026-09-01,3903.741582473674,3467.603982654134,4301.7552932004555,4480.787708477423,
2026-10-01,4100.678799872129,3682.2284776035226,4539.988108450826,4744.355096678659,
